concept,prefLabel,altLabels
http://www.eionet.europa.eu/gemet/concept/14902,scene identification,
http://www.eionet.europa.eu/gemet/concept/14903,image processing digital system,
http://www.eionet.europa.eu/gemet/concept/14906,mosaic,
http://www.eionet.europa.eu/gemet/concept/14907,image filtering,
http://www.eionet.europa.eu/gemet/concept/14908,image enhancement,
http://www.eionet.europa.eu/gemet/concept/14909,geometric correction,
http://www.eionet.europa.eu/gemet/concept/1491,cloud,
http://www.eionet.europa.eu/gemet/concept/14910,image registration,
http://www.eionet.europa.eu/gemet/concept/14912,supervised image classification,
http://www.eionet.europa.eu/gemet/concept/14913,unsupervised image classification,
http://www.eionet.europa.eu/gemet/concept/14914,colour composition,
http://www.eionet.europa.eu/gemet/concept/14915,atmospheric correction,
http://www.eionet.europa.eu/gemet/concept/14917,GIS digital format,
http://www.eionet.europa.eu/gemet/concept/14918,vector,
http://www.eionet.europa.eu/gemet/concept/14921,polygon,
http://www.eionet.europa.eu/gemet/concept/14922,raster,
http://www.eionet.europa.eu/gemet/concept/14923,attribute,
http://www.eionet.europa.eu/gemet/concept/14925,interpolation,
http://www.eionet.europa.eu/gemet/concept/14926,gridding,
http://www.eionet.europa.eu/gemet/concept/14927,raster to vector,
http://www.eionet.europa.eu/gemet/concept/14928,vector to raster,
http://www.eionet.europa.eu/gemet/concept/14936,latitude,
http://www.eionet.europa.eu/gemet/concept/14937,longitude,
http://www.eionet.europa.eu/gemet/concept/14939,GIS laboratory,
http://www.eionet.europa.eu/gemet/concept/14947,underground dump,
http://www.eionet.europa.eu/gemet/concept/14966,natural independence law,
http://www.eionet.europa.eu/gemet/concept/14967,offence against the environment,
http://www.eionet.europa.eu/gemet/concept/14968,provincial/regional law (D),
http://www.eionet.europa.eu/gemet/concept/14970,provincial/regional authority (D),
http://www.eionet.europa.eu/gemet/concept/14971,international transaction,
http://www.eionet.europa.eu/gemet/concept/14982,mountain refuge,
http://www.eionet.europa.eu/gemet/concept/14983,space research,
http://www.eionet.europa.eu/gemet/concept/14985,red list,
http://www.eionet.europa.eu/gemet/concept/15029,fishing fleet,
http://www.eionet.europa.eu/gemet/concept/15038,non-mineral waste,
http://www.eionet.europa.eu/gemet/concept/15040,other waste,
http://www.eionet.europa.eu/gemet/concept/15072,biocapacity,
http://www.eionet.europa.eu/gemet/concept/15080,biomass burning,
http://www.eionet.europa.eu/gemet/concept/15081,biomass feedstock,
http://www.eionet.europa.eu/gemet/concept/15100,clinical waste,
http://www.eionet.europa.eu/gemet/concept/15102,coastal flooding,
http://www.eionet.europa.eu/gemet/concept/15110,cultivated species,
http://www.eionet.europa.eu/gemet/concept/15113,decoupling,
http://www.eionet.europa.eu/gemet/concept/15127,ecological corridor,
http://www.eionet.europa.eu/gemet/concept/15158,environmental liability regulations,
http://www.eionet.europa.eu/gemet/concept/1520,coastal fishing,
http://www.eionet.europa.eu/gemet/concept/15213,karst area,
http://www.eionet.europa.eu/gemet/concept/15257,pandemics,
http://www.eionet.europa.eu/gemet/concept/15258,park waste,
http://www.eionet.europa.eu/gemet/concept/1526,coastal water,
