"concept","prefLabel","altLabels"
"http://aims.fao.org/aos/agrovoc/c_4326","lighting","""illumination""@en"
"http://aims.fao.org/aos/agrovoc/c_7240","sorbitol","""glucitol""@en"
"http://aims.fao.org/aos/agrovoc/c_c321e170","nanocapsules",
"http://aims.fao.org/aos/agrovoc/c_44290","Lycozoarces regani",
"http://aims.fao.org/aos/agrovoc/c_11483623","salinometers",
"http://aims.fao.org/aos/agrovoc/c_47557","Megathura crenulata",
"http://aims.fao.org/aos/agrovoc/c_4921","Monotremata",
"http://aims.fao.org/aos/agrovoc/c_6720","Saba",
"http://aims.fao.org/aos/agrovoc/c_894","beverage crops",
"http://aims.fao.org/aos/agrovoc/c_44785","Scomberomorus plurilineatus",
"http://aims.fao.org/aos/agrovoc/c_48427","Isognomon janus",
"http://aims.fao.org/aos/agrovoc/c_12873","nuts",
"http://aims.fao.org/aos/agrovoc/c_4243","leaves",
"http://aims.fao.org/aos/agrovoc/c_30538","Cuterebridae",
"http://aims.fao.org/aos/agrovoc/c_14958","transferrins",
"http://aims.fao.org/aos/agrovoc/c_24125","perlite",
"http://aims.fao.org/aos/agrovoc/c_33838","Quercus douglasii","""Blue oak""@en"
"http://aims.fao.org/aos/agrovoc/c_38159","Parmaturus xaniurus",
"http://aims.fao.org/aos/agrovoc/c_12316","macrophages",
"http://aims.fao.org/aos/agrovoc/c_14696","honey supers",
"http://aims.fao.org/aos/agrovoc/c_26742","Vitis riparia",
"http://aims.fao.org/aos/agrovoc/c_16485","cut flowers",
"http://aims.fao.org/aos/agrovoc/c_46764","Panulirus laevicauda",
"http://aims.fao.org/aos/agrovoc/c_36736","OECD countries",
"http://aims.fao.org/aos/agrovoc/c_9647","cashews",
"http://aims.fao.org/aos/agrovoc/c_47009","Munida refulgens",
"http://aims.fao.org/aos/agrovoc/c_8314","water circulation",
"http://aims.fao.org/aos/agrovoc/c_30296","Psychidae",
"http://aims.fao.org/aos/agrovoc/c_52797261","pickled foods",
"http://aims.fao.org/aos/agrovoc/c_47040","Calappa gallus",
"http://aims.fao.org/aos/agrovoc/c_1dd1204a","marinades",
"http://aims.fao.org/aos/agrovoc/c_40970","Pseudoplatystoma fasciatum",
"http://aims.fao.org/aos/agrovoc/c_36927","early selection",
"http://aims.fao.org/aos/agrovoc/c_24868","lignocellulose",
"http://aims.fao.org/aos/agrovoc/c_9cfeec42","Rubella virus",
"http://aims.fao.org/aos/agrovoc/c_7523","supply",
"http://aims.fao.org/aos/agrovoc/c_1370608364444","UNFCCC","""United Nations Framework Convention on Climate Change""@en"
"http://aims.fao.org/aos/agrovoc/c_1638","Citrus aurantiifolia",
"http://aims.fao.org/aos/agrovoc/c_331228","Trichosphaeriales",
"http://aims.fao.org/aos/agrovoc/c_44327","Ammodytes tobianus",
"http://aims.fao.org/aos/agrovoc/c_34754","Phytophthora nicotianae parasitica","""Phytophthora parasitica""@en"
"http://aims.fao.org/aos/agrovoc/c_42885","Lutjanus rivulatus",
"http://aims.fao.org/aos/agrovoc/c_23900","Botryosphaeria",
"http://aims.fao.org/aos/agrovoc/c_16377","titration","""titrimetry""@en|_|""volumetry""@en"
"http://aims.fao.org/aos/agrovoc/c_12394","Marek's disease virus",
"http://aims.fao.org/aos/agrovoc/c_6181","primates",
"http://aims.fao.org/aos/agrovoc/c_44396","Bunaka pinguis",
